2017-12-30 00:00:51.687 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.bioodas.seckill.util.RedisClientTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2017-12-30 00:00:51.689 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.bioodas.seckill.util.RedisClientTest]: RedisClientTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2017-12-30 00:00:51.900 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.bioodas.seckill.MainApplication for test class com.bioodas.seckill.util.RedisClientTest
2017-12-30 00:00:51.916 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2017-12-30 00:00:51.955 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4313f5bc, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7f010382, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1e802ef9, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2b6faea6, org.springframework.test.context.transaction.TransactionalTestExecutionListener@778d1062, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@670002, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1f0f1111, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@49c386c8, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@56528192, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6e0dec4a, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@96def03, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5ccddd20]
2017-12-30 00:00:52.524 [main] INFO  com.bioodas.seckill.util.RedisClientTest - Starting RedisClientTest on Mick with PID 7144 (started by Administrator in E:\dev\seckill)
2017-12-30 00:00:52.525 [main] INFO  com.bioodas.seckill.util.RedisClientTest - No active profile set, falling back to default profiles: default
2017-12-30 00:00:52.997 [main] INFO  o.s.w.context.support.GenericWebApplicationContext - Refreshing org.springframework.web.context.support.GenericWebApplicationContext@7c24b813: startup date [Sat Dec 30 00:00:52 CST 2017]; root of context hierarchy
2017-12-30 00:00:53.015 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 5.3.5.Final
2017-12-30 00:00:53.860 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2017-12-30 00:00:54.352 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
2017-12-30 00:00:55.727 [main] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.web.context.support.GenericWebApplicationContext@7c24b813: startup date [Sat Dec 30 00:00:52 CST 2017]; root of context hierarchy
